GSTR1 Filing Freq,GSTR3B Filing Freq,GSTR1 Filing Status,GSTR3B Filing Status,GSTR1 Filing Date,GSTR3B Filing Date,GSTIN ID,Registration Name,State,Status,E-mail Id,Mobile Number,Registration Start Date,Registration End Date,Jurisdiction 2,Jurisdiction 3,Jurisdiction 4,Registration Type,Constitution of Business,Approving Authority,Return Period,IGST on Import of Goods - 4A1,CGST on Import of Goods - 4A1,SGST on Import of Goods - 4A1,CESS on Import of Goods - 4A1,IGST on Import of Services - 4A2,CGST on Import of Services - 4A2,SGST on Import of Services - 4A2,CESS on Import of Services - 4A2,IGST on Reverse Charge - 4A3,CGST on Reverse Charge - 4A3s,SGST on Reverse Charge - 4A3s,CESS on Reverse Charge - 4A3s,IGST on ISD - 4A4,CGST on ISD - 4A4,SGST on ISD - 4A4,CESS on ISD - 4A4,IGST on Other Supplies - 4A5,CGST on Other Supplies - 4A5,SGST on Other Supplies - 4A5,CESS on Other Supplies - 4A5,IGST - Rule based ITC Reversal - 4B1,CGST - Rule based ITC Reversal- 4B1,SGST - Rule based ITC Reversal- 4B1,Cess - Rule based ITC Reversal- 4B1,IGST - Other ITC Reversal - 4B2,CGST - Other ITC Reversal- 4B2,SGST - Other ITC Reversal- 4B2,Cess - Other ITC Reversal- 4B2,IGST Net ITC - 4C,CGST Net ITC- 4C,SGST Net ITC- 4C,CESS Net ITC- 4C,IGST in 4D1,CGST in 4D1,SGST in 4D1,Cess in 4D1,IGST in 4D2,CGST in 4D2,SGST in 4D2,Cess in 4D2
"M","M","1","1","2023-01-04","2023-01-28","24ADZFS1440C1Z3","SNS TRENCHLESS ENGINEERING","Gujarat","Active","snste09@gmail.com","8347013430","2019-08-21",,"Division - 6","Range - 14","Ghatak 55 (Bharuch)","Normal Tax payer","Partnership","STATE","202212","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9250.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","525070.00","534082.00","534082.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","534320.00","534082.00","534082.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-04-11","2023-07-10","24AAXFR3097H1ZL","RUDRA-SHAKTI CARTING CONTRACTOR","Gujarat","Active","KEYURPBAROT@YAHOO.COM","7567971795","2018-04-05",,"AHMEDABAD-NORTH","DIVISION-VII - S G HIGHWAY EAST","RANGE V","Normal Tax payer","Partnership","CENTER","202303","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","194651.25","194651.25","0.00","0.00","0.00","0.00","0.00","15002.48","804935.00","804935.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15002.48","999586.25","999586.25","0.00","0.00","0.00","0.00","0.00","0.00","1300.20","1300.20","0.00"
"M","M","1","1","2022-08-16","2022-09-29","24AADFR3902P2Z1","RAJLAXMI CONSTRUCTION CO.","Gujarat","Active","rajlaxmiconstruction@yahoo.co.in","9879504748","2017-07-01",,"Division - 11","Range - 24","Ghatak 100 (Jamnagar)","Normal Tax payer","Partnership","STATE","202207","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","40500.00","11200341.00","11200341.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","40500.00","11200341.00","11200341.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-08-11","2022-09-11","24AAFFO9309R1ZM","OPERA-INFRASTRUCTURES LLP","Gujarat","Active","dilip@operaenergy.in","9825508411","2018-05-23",,"RAJKOT","JAMNAGAR - I DIVISION","JAMNAGAR-I RANGE","Normal Tax payer","Limited Liability Partnership","CENTER","202207","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","129.00","9.25","9.25","0.00","0.00","0.00","0.00","0.00","3906.00","2904898.90","2904898.90","0.00","0.00","0.00","0.00","0.00","0.00","9513.54","9513.54","0.00","4035.00","2895394.61","2895394.61","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-11-04","2022-11-20","24AAZFM0141R1ZO","MRG CONSTRUCTIONS","Gujarat","Active","guptasagarcool@gmail.com","9855164267","2021-07-29",,"Division - 4","Range - 8","Ghatak 35 (Deesa)","Normal Tax payer","Partnership","STATE","202210","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","59098.00","516289.26","516289.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","59098.00","516289.26","516289.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-11-11","2022-11-19","24AAEFE3626Q1Z7","ERA OVERSEAS","Gujarat","Active","eraoverseas@gmail.com","9978442260","2017-07-01",,"Division - 1","Range - 3","Ghatak 11 (Ahmedabad)","Normal Tax payer","Partnership","STATE","202210","389194.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14025.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","77621.40","59184.79","59184.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","480840.40","59184.79","59184.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-11-10","2022-11-19","24AALFP6600L1Z3","POWER GAIN ENGINEERS","Gujarat","Active","accounts@powergainengineers.com","9909412240","2017-07-01",,"AHMEDABAD-NORTH","DIVISION-VI - S G HIGHWAY WEST","RANGE II","Normal Tax payer","Partnership","CENTER","202210","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","175177.52","672376.09","672376.09","0.00","0.00","0.00","0.00","0.00","0.00","48.00","48.00","0.00","175177.52","672328.09","672328.09","0.00","0.00","0.00","0.00","0.00","0.00","205.47","205.47","0.00"
"M","M","1","1","2022-12-21","2022-12-21","24AADFR3902P2Z1","RAJLAXMI CONSTRUCTION CO.","Gujarat","Active","rajlaxmiconstruction@yahoo.co.in","9879504748","2017-07-01",,"Division - 11","Range - 24","Ghatak 100 (Jamnagar)","Normal Tax payer","Partnership","STATE","202210","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2002489.86","2002489.86","0.00","0.00","0.00","0.00","0.00","0.00","89.25","89.25","0.00","0.00","2002400.61","2002400.61","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-12-10","2022-12-10","24AAFFO9309R1ZM","OPERA-INFRASTRUCTURES LLP","Gujarat","Active","dilip@operaenergy.in","9825508411","2018-05-23",,"RAJKOT","JAMNAGAR - I DIVISION","JAMNAGAR-I RANGE","Normal Tax payer","Limited Liability Partnership","CENTER","202210","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","66185.04","3303280.00","3303280.00","292756.76","0.00","0.00","0.00","0.00","0.00","5325.81","5325.81","292756.76","66185.04","3297954.19","3297954.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-11-11","2022-11-24","24AALFV2388P1ZC","VSP DAIRY INDUSTRIES","Gujarat","Active","vspcorporation1@gmail.com","9909918909","2017-07-01",,"AHMEDABAD-NORTH","DIVISION-VI - S G HIGHWAY WEST","RANGE II","Normal Tax payer","Partnership","CENTER","202210","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3300.00","3300.00","0.00","0.00","0.00","0.00","0.00","258324.00","524778.00","524778.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","258324.00","528078.00","528078.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-06-28","2022-06-28","24AGSPR6304A1ZJ","ANJANI  EXCAVATION  OPERATIONS","Gujarat","Active","shrisaiconsultancy27@gmail.com","9825527633","2017-07-01",,"VADODARA-II","DIVISION-VII BHARUCH","RANGE-IV","Normal Tax payer","Proprietorship","CENTER","202205","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","32066.67","32066.67","0.00","0.00","0.00","0.00","0.00","0.00","578775.68","578775.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","610842.35","610842.35","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-08-06","2022-08-18","24AADFJ2638N1Z7","JAY PEE AGENCY","Gujarat","Active","jaypee_agency@yahoo.in","9824014018","2017-07-01",,"Division - 1","Range - 3","Ghatak 11 (Ahmedabad)","Normal Tax payer","Partnership","STATE","202207","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1037.00","1037.00","0.00","0.00","0.00","0.00","0.00","221155.00","765075.00","765075.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","221155.00","766112.00","766112.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-08-04","2022-09-30","24ADZFS1440C1Z3","SNS TRENCHLESS ENGINEERING","Gujarat","Active","snste09@gmail.com","8347013430","2019-08-21",,"Division - 6","Range - 14","Ghatak 55 (Bharuch)","Normal Tax payer","Partnership","STATE","202207","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10000.00","30.50","30.50","0.00","0.00","0.00","0.00","0.00","622887.00","798868.00","798868.00","0.00","0.00","0.00","0.00","0.00","16668.00","0.00","0.00","0.00","616219.00","798898.50","798898.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-02-09","2023-02-27","24ABIPK6373R1ZY","JAY AMBE INDUSTRIES","Gujarat","Active","khemanihrajesh@gmail.com","9099880620","2017-07-01",,"AHMEDABAD-NORTH","DIVISION-III - SANAND","RANGE I","Normal Tax payer","Proprietorship","CENTER","202301","2489060.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","42724.98","1169559.51","1169559.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2531784.98","1169559.51","1169559.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-02-07","2023-02-22","24AADFJ2638N1Z7","JAY PEE AGENCY","Gujarat","Active","jaypee_agency@yahoo.in","9824014018","2017-07-01",,"Division - 1","Range - 3","Ghatak 11 (Ahmedabad)","Normal Tax payer","Partnership","STATE","202301","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","800.00","800.00","0.00","0.00","0.00","0.00","0.00","442313.00","888190.00","888190.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","442313.00","888990.00","888990.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-02-11","2023-02-20","24AAIFF7084K1Z2","Food Fashionista","Gujarat","Active","gmfinance@bthindore.com","9111103590","2022-12-09",,"Division - 5","Range - 10","Ghatak 39 (Vadodara)","Normal Tax payer","Partnership","STATE","202301","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15481.15","15481.15","0.00","0.00","15481.15","15481.15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-02-10","2023-02-20","24AAMFS4772K1ZO","SUNDEEP SYNTHETICS","Gujarat","Active","ntpl103@gmail.com","9374707500","2017-07-01",,"Division - 8","Range - 17","Ghatak 68 (Surat)","Normal Tax payer","Partnership","STATE","202301","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","585.00","4701.00","4701.00","0.00","0.00","0.00","0.00","0.00","20940.00","1934588.00","1934588.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","21525.00","1939289.00","1939289.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-03-08","2023-03-20","24AAZFM0141R1ZO","MRG CONSTRUCTIONS","Gujarat","Active","guptasagarcool@gmail.com","9855164267","2021-07-29",,"Division - 4","Range - 8","Ghatak 35 (Deesa)","Normal Tax payer","Partnership","STATE","202302","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","78345.00","909907.29","909907.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","78345.00","909907.29","909907.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-06-09","2022-06-16","24AADFJ2638N1Z7","JAY PEE AGENCY","Gujarat","Active","jaypee_agency@yahoo.in","9824014018","2017-07-01",,"Division - 1","Range - 3","Ghatak 11 (Ahmedabad)","Normal Tax payer","Partnership","STATE","202205","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2320.00","2320.00","0.00","0.00","0.00","0.00","0.00","445839.00","295396.82","295396.82","0.00","0.00","0.00","0.00","0.00","0.00","6756.00","6756.00","0.00","445839.00","290960.82","290960.82","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-12-09","2022-12-20","24AAMFS4772K1ZO","SUNDEEP SYNTHETICS","Gujarat","Active","ntpl103@gmail.com","9374707500","2017-07-01",,"Division - 8","Range - 17","Ghatak 68 (Surat)","Normal Tax payer","Partnership","STATE","202211","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1679.00","1679.00","0.00","0.00","0.00","0.00","0.00","573.00","889074.00","889074.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","573.00","890753.00","890753.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-08-11","2022-08-20","24AALFV2388P1ZC","VSP DAIRY INDUSTRIES","Gujarat","Active","vspcorporation1@gmail.com","9909918909","2017-07-01",,"AHMEDABAD-NORTH","DIVISION-VI - S G HIGHWAY WEST","RANGE II","Normal Tax payer","Partnership","CENTER","202207","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","264.35","1125.00","1125.00","0.00","0.00","0.00","0.00","0.00","54035.12","830603.57","830603.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","54299.47","831728.57","831728.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-03-11","2023-04-04","24AAIFF7084K1Z2","Food Fashionista","Gujarat","Active","gmfinance@bthindore.com","9111103590","2022-12-09",,"Division - 5","Range - 10","Ghatak 39 (Vadodara)","Normal Tax payer","Partnership","STATE","202302","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11341.39","45643.91","45643.91","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11341.39","45643.91","45643.91","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-12-11","2022-12-20","24ADEPT1606L1ZJ","R.V. ENTERPRISE","Gujarat","Active","chetan@pashupaticotton.com","9099977558","2017-07-01",,"GANDHINAGAR","KADI DIVISION","RANGE IV","Normal Tax payer","Proprietorship","CENTER","202211","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3451396.00","3451396.00","0.00","0.00","0.00","0.00","0.00","471219.35","1272606.10","1272606.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","471219.35","4724002.10","4724002.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-02-10","2023-03-02","24AAVFG3150G1ZE","GOPAL ISPAT","Gujarat","Active","CA.KPJAGAD@GMAIL.COM","9898354400","2020-07-28",,"BHAVNAGAR","DIVISION - BHAVNAGAR - I","BHAVNAGAR - 1","Normal Tax payer","Partnership","CENTER","202301","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2450.00","12308.04","12308.04","0.00","0.00","0.00","0.00","0.00","234576.31","4974567.59","4974567.59","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","237026.31","4986875.63","4986875.63","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
